# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
 1.74752293E+00

# df/dalpha_inf [rad]
 1.18397604E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
      41 ,        3 ,  2.49607276E-01 ,  6.31416923E-02 ,  2.77803250E-04 , -1.62207349E-03
      42 ,        3 ,  2.96376542E-01 ,  6.55863929E-02 ,  9.38031468E-05 , -1.61979404E-03
      43 ,        3 ,  3.45372550E-01 ,  6.72601334E-02 ,  6.78845410E-05 , -1.97450217E-03
      44 ,        3 ,  3.96063826E-01 ,  6.80895809E-02 , -7.90164317E-04 ,  2.11158925E-03
      45 ,        3 ,  4.47897993E-01 ,  6.80106867E-02 , -3.43978799E-03 ,  2.55955264E-03
      46 ,        3 ,  5.00308090E-01 ,  6.69804488E-02 , -2.42931583E-03 ,  4.33307297E-03
      47 ,        3 ,  5.52719064E-01 ,  6.49884517E-02 ,  8.88616453E-04 , -2.24605821E-03
      48 ,        3 ,  6.04554418E-01 ,  6.20661481E-02 ,  3.78507437E-04 ,  4.12424769E-03
      49 ,        3 ,  6.55242917E-01 ,  5.82921170E-02 , -2.42332493E-04 ,  3.91339652E-03
      50 ,        3 ,  7.04225231E-01 ,  5.37921900E-02 ,  1.37708553E-04 ,  3.38789984E-03
      51 ,        3 ,  7.50960360E-01 ,  4.87342159E-02 ,  5.99452505E-04 ,  3.49886659E-03
      52 ,        3 ,  7.94931655E-01 ,  4.33181709E-02 ,  9.06822778E-04 ,  3.44889264E-03
      53 ,        3 ,  8.35652255E-01 ,  3.77630768E-02 ,  1.15320125E-03 ,  3.27510844E-03
      54 ,        3 ,  8.72669876E-01 ,  3.22924325E-02 ,  1.40649626E-03 ,  1.54206006E-03
      55 ,        3 ,  9.05571803E-01 ,  2.71185659E-02 ,  1.71604201E-03 ,  2.88661884E-03
      56 ,        3 ,  9.33995389E-01 ,  2.24204176E-02 ,  3.16640149E-03 ,  4.59473258E-04
      57 ,        3 ,  9.57663727E-01 ,  1.82936711E-02 ,  5.66040885E-03 ,  8.13986594E-03
      58 ,        3 ,  9.76486289E-01 ,  1.46358531E-02 , -7.74795683E-03 ,  3.80587891E-02
      59 ,        3 ,  9.90697926E-01 ,  1.09713911E-02 , -7.09652718E-02 , -9.29658821E-03
      60 ,        3 ,  1.00078325E+00 ,  6.43523008E-03 , -3.82810134E-01 ,  4.13756248E-01
      61 ,        3 ,  1.00316785E+00 , -1.78699449E-04 , -2.19141514E+00 , -2.57598000E+00
       1 ,        4 ,  1.00568758E+00 , -3.13082751E-04 ,  9.05592145E-01 , -7.19149499E-01
       2 ,        4 ,  1.00347956E+00 , -9.69842051E-03 ,  1.05425299E-01 ,  1.39524954E-01
       3 ,        4 ,  9.91002170E-01 , -1.46738460E-02 ,  4.88390965E-02 ,  4.36820729E-02
       4 ,        4 ,  9.75590535E-01 , -1.75097844E-02 ,  1.45407385E-02 ,  1.47323413E-02
       5 ,        4 ,  9.56383381E-01 , -1.94700784E-02 , -2.83308511E-03 ,  7.86726580E-03
       6 ,        4 ,  9.32796805E-01 , -2.13080848E-02 , -1.76404476E-03 ,  1.47315075E-03
       7 ,        4 ,  9.04643417E-01 , -2.34501779E-02 , -1.89931307E-04 , -1.12755297E-04
       8 ,        4 ,  8.72065911E-01 , -2.61166117E-02 ,  4.79471009E-04 , -3.40331229E-04
       9 ,        4 ,  8.35379842E-01 , -2.94057825E-02 ,  6.55971278E-04 , -5.33182908E-04
      10 ,        4 ,  7.94979506E-01 , -3.33383064E-02 ,  6.53416195E-04 , -9.82536557E-04
      11 ,        4 ,  7.51302767E-01 , -3.78655671E-02 ,  5.61335772E-04 , -1.25425256E-03
      12 ,        4 ,  7.04820264E-01 , -4.28634067E-02 ,  4.82587892E-04 , -3.77644470E-04
      13 ,        4 ,  6.56031202E-01 , -4.81270281E-02 ,  5.85120747E-04 , -3.87028252E-03
      14 ,        4 ,  6.05460123E-01 , -5.33754185E-02 ,  3.30485584E-04 , -2.81890775E-03
      15 ,        4 ,  5.53653419E-01 , -5.82686812E-02 ,  2.22092763E-04 , -2.37445350E-03
      16 ,        4 ,  5.01175420E-01 , -6.24383709E-02 ,  4.51000745E-04 , -9.05954451E-04
      17 ,        4 ,  4.48603983E-01 , -6.55280977E-02 ,  9.31728038E-04 ,  6.52439815E-04
      18 ,        4 ,  3.96525427E-01 , -6.72391624E-02 ,  2.96496431E-03 , -6.68834120E-03
      19 ,        4 ,  3.45528516E-01 , -6.73741723E-02 ,  1.92935409E-03 ,  5.39800919E-03
      20 ,        4 ,  2.96197189E-01 , -6.58708747E-02 ,  1.98846099E-03 , -3.37519598E-03
      21 ,        4 ,  2.49102019E-01 , -6.28191602E-02 ,  7.88681409E-04 , -1.66735666E-03
      22 ,        4 ,  2.04790700E-01 , -5.84563730E-02 , -6.21004790E-06 , -1.10259627E-03
      23 ,        4 ,  1.63778017E-01 , -5.31392701E-02 , -3.44532661E-04 , -5.92727337E-04
      24 ,        4 ,  1.26534570E-01 , -4.72938583E-02 , -3.99413055E-04 , -1.08871698E-03
      25 ,        4 ,  9.34693791E-02 , -4.13445182E-02 , -6.76429714E-04 , -2.87617981E-03
      26 ,        4 ,  6.48920248E-02 , -3.56195743E-02 , -7.08137867E-04 , -4.36651634E-03
      27 ,        4 ,  4.09331104E-02 , -3.02283576E-02 ,  1.61029891E-04 , -6.09006063E-03
      28 ,        4 ,  2.14459515E-02 , -2.49228654E-02 ,  1.09325642E-02 , -9.37531554E-03
      29 ,        4 ,  6.07277941E-03 , -1.89772634E-02 ,  3.74654055E-02 , -2.74861270E-02
      30 ,        4 , -5.05285988E-03 , -1.11220873E-02 ,  1.51378889E-02 ,  2.65156049E-02
      31 ,        4 , -9.94301074E-03 , -9.98261584E-04 , -7.07186644E-02 ,  2.03418204E-01
      32 ,        4 , -7.34083703E-03 ,  1.28358154E-02 , -3.55702872E-02 , -2.81906070E-01
      33 ,        4 ,  3.46485590E-03 ,  2.46789007E-02 , -1.20387372E-01 , -5.08506576E-02
      34 ,        4 ,  1.94754947E-02 ,  3.38669578E-02 , -5.80097976E-02 , -8.65848765E-03
      35 ,        4 ,  3.98754121E-02 ,  4.13051423E-02 , -3.39354151E-02 , -3.35627583E-02
      36 ,        4 ,  6.46277042E-02 ,  4.76512569E-02 , -4.87095625E-03 , -2.21280026E-02
      37 ,        4 ,  9.37426508E-02 ,  5.32432339E-02 , -7.53129467E-04 , -1.18249227E-02
      38 ,        4 ,  1.27088468E-01 ,  5.82195551E-02 , -4.19050646E-04 , -4.74782284E-03
      39 ,        4 ,  1.64400128E-01 ,  6.26143068E-02 , -4.24882940E-04 , -2.01956076E-03
      40 ,        4 ,  2.05321291E-01 ,  6.64103799E-02 , -2.29341074E-04 , -9.89147594E-04
      41 ,        4 ,  2.49433562E-01 ,  6.95635517E-02 , -4.45737560E-05 , -7.80898020E-04
      42 ,        4 ,  2.96272694E-01 ,  7.20129123E-02 ,  9.87435962E-05 , -6.03804953E-04
      43 ,        4 ,  3.45338288E-01 ,  7.36878680E-02 ,  1.50884671E-04 , -7.40793260E-03
      44 ,        4 ,  3.96101032E-01 ,  7.45163412E-02 , -8.44026360E-04 ,  8.67383810E-03
      45 ,        4 ,  4.48009248E-01 ,  7.44352370E-02 , -2.54261194E-03 ,  3.53208653E-03
      46 ,        4 ,  5.00495389E-01 ,  7.34023487E-02 , -1.43723439E-03 , -6.21270942E-03
      47 ,        4 ,  5.52982715E-01 ,  7.14079721E-02 ,  6.90692021E-04 , -3.76326585E-03
      48 ,        4 ,  6.04892143E-01 ,  6.84842304E-02 ,  1.98996668E-05 ,  5.28454424E-04
      49 ,        4 ,  6.55649194E-01 ,  6.47103659E-02 , -2.57948286E-04 , -1.98959444E-04
      50 ,        4 ,  7.04690851E-01 ,  6.02128915E-02 , -1.47424592E-04 , -1.03466332E-03
      51 ,        4 ,  7.51472133E-01 ,  5.51603841E-02 , -2.25472103E-04 , -1.04322725E-03
      52 ,        4 ,  7.95472145E-01 ,  4.97535952E-02 , -3.52153016E-04 , -1.03281010E-03
      53 ,        4 ,  8.36199531E-01 ,  4.42121073E-02 , -4.85165473E-04 , -9.81517847E-04
      54 ,        4 ,  8.73198127E-01 ,  3.87581345E-02 , -8.64638317E-04 , -2.40335638E-03
      55 ,        4 ,  9.06057343E-01 ,  3.35943191E-02 , -1.04224879E-03 ,  2.70355199E-03
      56 ,        4 ,  9.34442942E-01 ,  2.88630445E-02 , -1.21284705E-03 ,  4.10182669E-03
      57 ,        4 ,  9.58181184E-01 ,  2.45650788E-02 , -6.89230401E-03 ,  2.10920022E-02
      58 ,        4 ,  9.77405183E-01 ,  2.04306812E-02 , -2.54368424E-02 ,  4.75781183E-02
      59 ,        4 ,  9.92613736E-01 ,  1.57696088E-02 , -1.51611576E-02 ,  7.43550214E-02
      60 ,        4 ,  1.00451855E+00 ,  9.30308982E-03 , -9.62020457E-02 ,  1.38276195E-01
      61 ,        4 ,  1.00568758E+00 , -3.13082751E-04 , -1.30433492E+00 , -5.40344904E-02
       1 ,        5 ,  1.00918980E+00 , -4.99677899E-04 ,  4.75296413E-01 , -2.76176078E-01
       2 ,        5 ,  1.00706746E+00 , -1.28240101E-02 ,  3.90171809E-02 ,  2.88064279E-02
       3 ,        5 ,  9.92996852E-01 , -2.00656234E-02 ,  2.87772333E-02 ,  4.84866790E-03
       4 ,        5 ,  9.76290250E-01 , -2.39719827E-02 ,  2.07382848E-02 , -8.56668498E-03
       5 ,        5 ,  9.56415257E-01 , -2.65272434E-02 ,  2.95423559E-03 , -1.21536270E-03
       6 ,        5 ,  9.32630716E-01 , -2.86628218E-02 , -3.36226931E-04 , -8.93915886E-05
