# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 7.50000000E-01 0.00000000E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-4.70066595E-15  3.30616471E+01 -2.38444307E+02  3.30616471E+01 -4.70066595E-15
# x y Cp Mach
 2.98437671E+00 -1.36452088E+01 -1.90483364E-03  7.52034958E-01
 1.56343251E+00 -1.38302416E+01 -5.90290449E-04  7.50649997E-01
 1.29706213E-01 -1.38669450E+01 -1.58649311E-04  7.50301626E-01
-1.30247126E+00 -1.37545467E+01 -8.69144627E-04  7.51269858E-01
-2.71870350E+00 -1.34933798E+01 -3.36844371E-03  7.54197904E-01
-4.10450318E+00 -1.30849255E+01 -8.56151409E-03  7.59997935E-01
-5.44529198E+00 -1.25318974E+01 -1.74634660E-02  7.69705427E-01
-6.72643884E+00 -1.18383565E+01 -3.10242786E-02  7.84270150E-01
-7.93334736E+00 -1.10098465E+01 -4.99384276E-02  8.04318578E-01
-9.05160043E+00 -1.00535316E+01 -7.43701965E-02  8.29903827E-01
-1.00671655E+01 -8.97831868E+00 -1.03806457E-01  8.60346832E-01
-1.09666585E+01 -7.79494247E+00 -1.36888927E-01  8.94158603E-01
-1.17376582E+01 -6.51599293E+00 -1.71436375E-01  9.29104409E-01
-1.23690532E+01 -5.15586561E+00 -2.04612627E-01  9.62390922E-01
-1.28514003E+01 -3.73062126E+00 -2.33263632E-01  9.90973695E-01
-1.31772642E+01 -2.25774876E+00 -2.54379244E-01  1.01196559E+00
-1.33415085E+01 -7.55835955E-01 -2.65590631E-01  1.02309117E+00
-1.33415085E+01  7.55835955E-01 -2.65590631E-01  1.02309117E+00
-1.31772642E+01  2.25774876E+00 -2.54379244E-01  1.01196559E+00
-1.28514003E+01  3.73062126E+00 -2.33263632E-01  9.90973695E-01
-1.23690532E+01  5.15586561E+00 -2.04612627E-01  9.62390922E-01
-1.17376582E+01  6.51599293E+00 -1.71436375E-01  9.29104409E-01
-1.09666585E+01  7.79494247E+00 -1.36888927E-01  8.94158603E-01
-1.00671655E+01  8.97831868E+00 -1.03806457E-01  8.60346832E-01
-9.05160043E+00  1.00535316E+01 -7.43701965E-02  8.29903827E-01
-7.93334736E+00  1.10098465E+01 -4.99384276E-02  8.04318578E-01
-6.72643884E+00  1.18383565E+01 -3.10242786E-02  7.84270150E-01
-5.44529198E+00  1.25318974E+01 -1.74634658E-02  7.69705427E-01
-4.10450318E+00  1.30849255E+01 -8.56151392E-03  7.59997935E-01
-2.71870350E+00  1.34933798E+01 -3.36844362E-03  7.54197904E-01
-1.30247126E+00  1.37545467E+01 -8.69144534E-04  7.51269858E-01
 1.29706213E-01  1.38669450E+01 -1.58649247E-04  7.50301626E-01
 1.56343251E+00  1.38302416E+01 -5.90290395E-04  7.50649997E-01
 2.98437671E+00  1.36452088E+01 -1.90483359E-03  7.52034958E-01
 4.37823653E+00  1.33137278E+01 -4.14203909E-03  7.54489961E-01
 5.73070481E+00  1.28388423E+01 -7.58895404E-03  7.58275470E-01
 7.02745415E+00  1.22248608E+01 -1.25112060E-02  7.63644533E-01
 8.25415466E+00  1.14775057E+01 -1.89379354E-02  7.70607972E-01
 9.39653928E+00  1.06041021E+01 -2.64197347E-02  7.78653486E-01
 1.04405305E+01  9.61379881E+00 -3.37439446E-02  7.86477272E-01
 1.13724417E+01  8.51780989E+00 -3.87542198E-02  7.91800457E-01
 1.21792648E+01  7.32966171E+00 -3.83375713E-02  7.91346035E-01
 1.28490553E+01  6.06542939E+00 -2.86798407E-02  7.81053975E-01
 1.33714243E+01  4.74394063E+00 -5.94431658E-03  7.56614133E-01
 1.37381454E+01  3.38692034E+00  3.25994299E-02  7.14348189E-01
 1.39438839E+01  2.01904065E+00  8.70085875E-02  6.52397846E-01
 1.39870496E+01  6.67826968E-01  1.52352123E-01  5.71654121E-01
