# EulerBlock derivatives output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil

# Grid size (ii, jj)
      61      49

# Derivatives with respect to the following function (f)
cl_jlow 

# df/dMach_inf
 1.77008679E+00

# df/dalpha_inf [rad]
 1.13585631E+01

# Nodal derivatives
# i, j, X, Y, df/dX, df/dY
      36 ,        1 ,  6.69872981E-02 ,  3.98612117E-02 , -2.54536548E-01 ,  1.10563619E+00
      37 ,        1 ,  9.54915028E-02 ,  4.64387411E-02 , -5.81350091E-01 ,  3.00076661E+00
      38 ,        1 ,  1.28427587E-01 ,  5.21872410E-02 , -1.69651230E-01 ,  1.18900968E+00
      39 ,        1 ,  1.65434697E-01 ,  5.69548798E-02 ,  3.62140938E-02 , -2.98685177E-01
      40 ,        1 ,  2.06107374E-01 ,  6.06166752E-02 ,  1.00137604E-02 , -8.01628235E-02
      41 ,        1 ,  2.50000000E-01 ,  6.30884788E-02 ,  8.52384309E-03 , -1.15892840E-01
      42 ,        1 ,  2.96631678E-01 ,  6.43368549E-02 ,  1.35150679E-02 , -7.28683387E-01
      43 ,        1 ,  3.45491503E-01 ,  6.43829210E-02 , -8.80159595E-03 , -1.16566171E+00
      44 ,        1 ,  3.96044155E-01 ,  6.32994048E-02 , -3.97253473E-02 , -1.20574019E+00
      45 ,        1 ,  4.47735768E-01 ,  6.12015066E-02 , -1.05903657E-01 , -2.76129117E+00
      46 ,        1 ,  5.00000000E-01 ,  5.82333653E-02 ,  6.13083514E-01 ,  9.21601546E+00
      47 ,        1 ,  5.52264232E-01 ,  5.45527432E-02 ,  6.39791116E-02 ,  1.60610595E+00
      48 ,        1 ,  6.03955845E-01 ,  5.03168031E-02 , -3.35478713E-02 , -3.25209942E-01
      49 ,        1 ,  6.54508497E-01 ,  4.56714977E-02 ,  3.88098845E-02 ,  3.85701092E-01
      50 ,        1 ,  7.03368322E-01 ,  4.07462111E-02 ,  5.41916921E-02 ,  5.09673166E-01
      51 ,        1 ,  7.50000000E-01 ,  3.56540762E-02 ,  7.94506355E-02 ,  6.95187305E-01
      52 ,        1 ,  7.93892626E-01 ,  3.04971150E-02 ,  1.08234455E-01 ,  8.84502739E-01
      53 ,        1 ,  8.34565303E-01 ,  2.53742815E-02 ,  1.46455819E-01 ,  1.11909937E+00
      54 ,        1 ,  8.71572413E-01 ,  2.03898676E-02 ,  2.00232339E-01 ,  1.43349992E+00
      55 ,        1 ,  9.04508497E-01 ,  1.56596888E-02 ,  2.78782195E-01 ,  1.87378548E+00
      56 ,        1 ,  9.33012702E-01 ,  1.13130083E-02 ,  4.27839287E-01 ,  2.70850318E+00
      57 ,        1 ,  9.56772729E-01 ,  7.48915428E-03 ,  7.39979277E-01 ,  4.43972944E+00
      58 ,        1 ,  9.75528258E-01 ,  4.32902804E-03 ,  1.48144881E+00 ,  8.45017808E+00
      59 ,        1 ,  9.89073800E-01 ,  1.96289639E-03 ,  2.82069476E+00 ,  1.50172446E+01
      60 ,        1 ,  9.97260948E-01 ,  4.96761797E-04 ,  4.35971765E+00 ,  2.21282904E+01
      61 ,        1 ,  1.00000000E+00 ,  0.00000000E+00 ,  5.47118212E-01 , -6.02457513E+01
       1 ,        2 ,  1.00071474E+00 , -2.34825896E-05 ,  4.34004077E+00 , -5.23925085E+00
       2 ,        2 ,  9.97864215E-01 , -3.55731124E-03 ,  1.19674426E+00 , -6.12603400E-01
       3 ,        2 ,  9.89222340E-01 , -5.71199946E-03 ,  1.93274186E-01 , -1.39600845E-01
       4 ,        2 ,  9.75587911E-01 , -7.48152626E-03 ,  2.70686315E-02 ,  2.79991219E-02
       5 ,        2 ,  9.56885166E-01 , -9.44675205E-03 ,  3.15643944E-04 ,  9.52513844E-03
       6 ,        2 ,  9.33188672E-01 , -1.17897985E-02 ,  1.12973389E-03 , -2.14488681E-03
       7 ,        2 ,  9.04730073E-01 , -1.45055030E-02 ,  7.72840651E-04 , -2.09737663E-03
       8 ,        2 ,  8.71822811E-01 , -1.75295347E-02 ,  1.70742630E-04 , -1.54552937E-03
       9 ,        2 ,  8.34832639E-01 , -2.07825942E-02 , -2.31371610E-05 , -6.21399327E-04
      10 ,        2 ,  7.94168772E-01 , -2.41829622E-02 , -1.54349634E-05 , -3.59340093E-04
      11 ,        2 ,  7.50279351E-01 , -2.76511070E-02 ,  2.53850702E-05 , -3.39000162E-04
      12 ,        2 ,  7.03646958E-01 , -3.11121980E-02 ,  5.70809585E-05 , -3.58601302E-04
      13 ,        2 ,  6.54783567E-01 , -3.44971982E-02 ,  8.10801044E-05 , -3.90914312E-04
      14 ,        2 ,  6.04225027E-01 , -3.77423459E-02 ,  1.03764033E-04 , -4.48146625E-04
      15 ,        2 ,  5.52525205E-01 , -4.07869779E-02 ,  1.30834729E-04 , -5.47413155E-04
      16 ,        2 ,  5.00249887E-01 , -4.35699950E-02 ,  1.70042326E-04 , -7.20851822E-04
      17 ,        2 ,  4.47970539E-01 , -4.60256350E-02 ,  2.40553088E-04 , -1.03613574E-03
      18 ,        2 ,  3.96258008E-01 , -4.80795042E-02 ,  3.46268683E-04 , -1.52115652E-03
      19 ,        2 ,  3.45676235E-01 , -4.96459538E-02 ,  4.34190750E-04 , -2.11213396E-03
      20 ,        2 ,  2.96776025E-01 , -5.06278244E-02 ,  5.03200677E-04 , -2.98010373E-03
      21 ,        2 ,  2.50088944E-01 , -5.09192933E-02 ,  5.72882271E-04 , -4.32454762E-03
      22 ,        2 ,  2.06121321E-01 , -5.04120655E-02 ,  4.23641376E-04 , -5.18355535E-03
      23 ,        2 ,  1.65348348E-01 , -4.90044984E-02 ,  5.51763885E-04 , -1.04625640E-02
      24 ,        2 ,  1.28208101E-01 , -4.66124468E-02 , -2.47751310E-03 , -1.19764820E-02
      25 ,        2 ,  9.50950432E-02 , -4.31795180E-02 , -8.75369155E-03 , -1.76430069E-02
      26 ,        2 ,  6.63520578E-02 , -3.86823347E-02 , -1.49723665E-02 ,  1.39222583E-02
      27 ,        2 ,  4.22603548E-02 , -3.31218418E-02 , -3.53980871E-02 , -3.02359708E-04
      28 ,        2 ,  2.30357513E-02 , -2.64862654E-02 , -5.75885483E-02 , -1.77164579E-02
      29 ,        2 ,  8.88179038E-03 , -1.86943759E-02 ,  1.68183631E-02 , -1.16362200E-02
      30 ,        2 ,  1.78278763E-04 , -9.68786894E-03 ,  4.41854229E-01 ,  2.25793358E-01
      31 ,        2 , -2.74016495E-03 ,  4.28648026E-05 , -2.51849537E-01 ,  2.22140590E+00
      32 ,        2 , -3.86959150E-06 ,  1.03466805E-02 , -9.65098024E-01 ,  2.19121041E-01
      33 ,        2 ,  8.64433745E-03 ,  2.01381046E-02 ,  5.45854453E-02 , -3.14452241E-01
      34 ,        2 ,  2.27390236E-02 ,  2.90435699E-02 ,  2.87003918E-01 , -6.94013083E-02
      35 ,        2 ,  4.19250224E-02 ,  3.71679784E-02 ,  8.99962824E-02 , -5.26694802E-02
      36 ,        2 ,  6.59997326E-02 ,  4.45885084E-02 ,  5.06212935E-02 , -3.42328272E-02
      37 ,        2 ,  9.47449826E-02 ,  5.12572204E-02 ,  3.26892568E-02 , -1.95454839E-02
      38 ,        2 ,  1.27877801E-01 ,  5.70576894E-02 ,  1.55449852E-02 , -1.84906971E-02
      39 ,        2 ,  1.65053044E-01 ,  6.18573344E-02 ,  1.17509822E-02 , -9.08730157E-03
      40 ,        2 ,  2.05872991E-01 ,  6.55397958E-02 ,  7.08619295E-03 , -8.93214127E-03
      41 ,        2 ,  2.49895538E-01 ,  6.80252970E-02 ,  3.66462139E-03 , -8.26366988E-03
      42 ,        2 ,  2.96641175E-01 ,  6.92829002E-02 ,  1.42555952E-03 , -1.05793024E-02
      43 ,        2 ,  3.45599489E-01 ,  6.93352863E-02 ,  4.30735086E-04 , -1.00548955E-02
      44 ,        2 ,  3.96235517E-01 ,  6.82562013E-02 , -8.59128728E-04 , -1.28356734E-02
      45 ,        2 ,  4.47996040E-01 ,  6.61614918E-02 ,  4.43745535E-03 , -2.12541962E-02
      46 ,        2 ,  5.00315862E-01 ,  6.31956647E-02 , -6.31891278E-02 , -1.73303075E-02
      47 ,        2 ,  5.52624024E-01 ,  5.95166486E-02 , -1.79463694E-02 ,  4.29313212E-02
      48 ,        2 ,  6.04349957E-01 ,  5.52816513E-02 , -2.79494952E-03 , -1.55159586E-02
      49 ,        2 ,  6.54929517E-01 ,  5.06366369E-02 , -6.54498030E-04 , -6.60824159E-03
      50 ,        2 ,  7.03810889E-01 ,  4.57110516E-02 , -5.04723482E-04 , -2.78642146E-03
      51 ,        2 ,  7.50460315E-01 ,  4.06182184E-02 , -5.16048483E-04 , -2.70323127E-03
      52 ,        2 ,  7.94367608E-01 ,  3.54605468E-02 , -5.85645395E-04 , -3.13276593E-03
      53 ,        2 ,  8.35051394E-01 ,  3.03376561E-02 , -6.54609307E-04 , -3.79846250E-03
      54 ,        2 ,  8.72063984E-01 ,  2.53548905E-02 , -7.03294314E-04 , -4.92793112E-03
      55 ,        2 ,  9.04995811E-01 ,  2.06295326E-02 , -7.35392047E-04 , -7.30277258E-03
      56 ,        2 ,  9.33479926E-01 ,  1.62915202E-02 , -4.31725961E-03 , -8.38580435E-03
      57 ,        2 ,  9.57200243E-01 ,  1.24710747E-02 , -1.04502982E-02 , -1.23539164E-02
      58 ,        2 ,  9.75917877E-01 ,  9.24812976E-03 , -2.36454162E-02 ,  1.85570203E-02
      59 ,        2 ,  9.89537143E-01 ,  6.50914416E-03 , -1.68224664E-01 , -2.05569433E-01
      60 ,        2 ,  9.98087158E-01 ,  3.71953873E-03 , -1.56016823E+00 , -6.48006866E-01
      61 ,        2 ,  1.00071474E+00 , -2.34825896E-05 , -4.80888674E+00 , -2.84237404E+00
       1 ,        3 ,  1.00331614E+00 , -1.04629712E-04 ,  2.24507234E+00 , -2.20429285E+00
       2 ,        3 ,  1.00037656E+00 , -6.46096012E-03 ,  2.26360739E-01 , -1.56645188E-02
       3 ,        3 ,  9.90056011E-01 , -1.02221806E-02 ,  1.25903956E-01 , -9.91990839E-03
       4 ,        3 ,  9.75746857E-01 , -1.28209793E-02 ,  1.13121642E-02 ,  2.45910385E-02
       5 ,        3 ,  9.56903350E-01 , -1.50865614E-02 ,  4.06491721E-04 ,  8.13182480E-03
       6 ,        3 ,  9.33250841E-01 , -1.75009828E-02 , -1.67531330E-03 ,  6.09595569E-04
       7 ,        3 ,  9.04862535E-01 , -2.02198212E-02 , -8.61769100E-04 ,  5.68885135E-05
       8 ,        3 ,  8.72011148E-01 , -2.32346883E-02 , -7.79339257E-04 , -6.52897163E-04
       9 ,        3 ,  8.35059660E-01 , -2.64794467E-02 , -5.07433493E-04 ,  4.59693653E-04
      10 ,        3 ,  7.94421544E-01 , -2.98739481E-02 , -4.01323055E-04 ,  9.61437010E-04
      11 ,        3 ,  7.50548896E-01 , -3.33381377E-02 , -3.22245817E-04 ,  1.06657106E-03
      12 ,        3 ,  7.03927061E-01 , -3.67965545E-02 , -2.60033377E-04 ,  1.02988182E-03
      13 ,        3 ,  6.55069795E-01 , -4.01796535E-02 , -2.17784717E-04 ,  9.49480466E-04
      14 ,        3 ,  6.04513934E-01 , -4.34232452E-02 , -1.93008020E-04 ,  8.48102736E-04
      15 ,        3 ,  5.52813616E-01 , -4.64662739E-02 , -1.81452719E-04 ,  7.34267713E-04
      16 ,        3 ,  5.00534197E-01 , -4.92472623E-02 , -1.75483281E-04 ,  6.19396669E-04
      17 ,        3 ,  4.48246001E-01 , -5.17000726E-02 , -1.68428779E-04 ,  5.42015396E-04
      18 ,        3 ,  3.96518003E-01 , -5.37499241E-02 , -1.80785561E-04 ,  5.26011636E-04
      19 ,        3 ,  3.45911526E-01 , -5.53107362E-02 , -1.90696339E-04 ,  2.54210984E-04
      20 ,        3 ,  2.96973995E-01 , -5.62847975E-02 , -1.74985064E-04 , -2.85294438E-04
      21 ,        3 ,  2.50232747E-01 , -5.65654567E-02 , -1.55952955E-04 , -9.11538466E-04
      22 ,        3 ,  2.06188817E-01 , -5.60430001E-02 ,  5.45010236E-06 ,  5.88439804E-04
      23 ,        3 ,  1.65310449E-01 , -5.46131089E-02 ,  3.43993623E-04 , -9.54868494E-04
      24 ,        3 ,  1.28025652E-01 , -5.21861549E-02 ,  1.24595557E-03 , -3.55903801E-03
      25 ,        3 ,  9.47121965E-02 , -4.86936245E-02 ,  4.54382742E-03 , -5.74010470E-03
      26 ,        3 ,  6.56821526E-02 , -4.40842061E-02 ,  9.95258436E-03 , -1.34826094E-02
      27 ,        3 ,  4.11604679E-02 , -3.82964837E-02 ,  2.17841719E-02 , -1.90888870E-02
      28 ,        3 ,  2.12807841E-02 , -3.11954060E-02 ,  3.93707346E-02 , -8.44140162E-02
      29 ,        3 ,  6.19765132E-03 , -2.25007640E-02 ,  1.58004582E-01 , -7.94809009E-02
      30 ,        3 , -3.53922613E-03 , -1.19296899E-02 ,  6.52319415E-02 , -1.45718275E-01
      31 ,        3 , -6.96674621E-03 ,  8.51632750E-06 ,  1.09708684E-01 ,  8.93867853E-01
      32 ,        3 , -3.82235669E-03 ,  1.24716718E-02 , -1.54337500E-01 , -6.06302629E-01
      33 ,        3 ,  5.73877246E-03 ,  2.38326577E-02 , -2.78790489E-01 , -2.35712320E-01
      34 ,        3 ,  2.06728454E-02 ,  3.36586317E-02 , -1.19706435E-01 , -4.76335863E-02
      35 ,        3 ,  4.04572031E-02 ,  4.22677854E-02 , -7.29561361E-02 , -5.52690465E-02
      36 ,        3 ,  6.49352674E-02 ,  4.99300674E-02 , -1.68738406E-02 , -3.90830116E-02
      37 ,        3 ,  9.39664371E-02 ,  5.67205768E-02 , -2.31086559E-03 , -3.23359928E-02
      38 ,        3 ,  1.27320230E-01 ,  6.25866720E-02 , -4.42897768E-03 ,  1.80566176E-04
      39 ,        3 ,  1.64678757E-01 ,  6.74249513E-02 , -5.40779628E-03 ,  6.59108915E-03
      40 ,        3 ,  2.05656881E-01 ,  7.11320364E-02 , -2.68405262E-03 ,  1.89805583E-03
      41 ,        3 ,  2.49817819E-01 ,  7.36342703E-02 , -3.32564153E-04 , -2.14805420E-03
      42 ,        3 ,  2.96684037E-01 ,  7.49039073E-02 , -2.42190081E-04 , -3.03280102E-03
      43 ,        3 ,  3.45745741E-01 ,  7.49654464E-02 , -6.39131742E-04 ,  2.25598421E-04
      44 ,        3 ,  3.96468295E-01 ,  7.38937001E-02 , -1.01111052E-03 ,  1.78875430E-02
      45 ,        3 ,  4.48299103E-01 ,  7.18051029E-02 ,  8.17630441E-03 ,  6.37415766E-02
      46 ,        3 ,  5.00674128E-01 ,  6.88444234E-02 , -7.97529318E-02 ,  8.52794089E-02
      47 ,        3 ,  5.53024145E-01 ,  6.51696453E-02 , -2.14448000E-02 , -1.53955861E-01
      48 ,        3 ,  6.04780732E-01 ,  6.09379453E-02 ,  7.55616077E-04 ,  5.53932589E-03
      49 ,        3 ,  6.55382033E-01 ,  5.62952901E-02 , -4.72309614E-04 , -4.09934693E-03
      50 ,        3 ,  7.04278288E-01 ,  5.13712750E-02 ,  1.27570603E-04 ,  1.22086128E-03
      51 ,        3 ,  7.50937135E-01 ,  4.62796180E-02 ,  2.58712325E-04 ,  2.27300095E-03
      52 ,        3 ,  7.94848653E-01 ,  4.11234608E-02 ,  4.61021788E-04 ,  2.93136117E-03
      53 ,        3 ,  8.35530096E-01 ,  3.60035575E-02 ,  7.65589122E-04 ,  3.43358485E-03
      54 ,        3 ,  8.72530334E-01 ,  3.10265827E-02 ,  1.16485608E-03 ,  3.34071817E-03
      55 ,        3 ,  9.05434917E-01 ,  2.63093991E-02 ,  1.24731594E-03 ,  1.12983079E-03
      56 ,        3 ,  9.33877030E-01 ,  2.19701415E-02 ,  2.87308535E-03 ,  4.93424423E-03
      57 ,        3 ,  9.57573866E-01 ,  1.80830663E-02 ,  4.67609889E-03 ,  8.77056849E-03
      58 ,        3 ,  9.76427985E-01 ,  1.45594138E-02 , -1.31002032E-02 ,  3.90673575E-02
      59 ,        3 ,  9.90667840E-01 ,  1.09598307E-02 , -1.07358953E-01 , -2.11938061E-02
      60 ,        3 ,  1.00077762E+00 ,  6.46089337E-03 , -2.95939980E-01 ,  2.53247065E-01
      61 ,        3 ,  1.00331614E+00 , -1.04629712E-04 , -2.47822281E+00 , -2.58463499E+00
       1 ,        4 ,  1.00587104E+00 , -1.81897499E-04 ,  1.13328391E+00 , -8.15621916E-01
       2 ,        4 ,  1.00388126E+00 , -9.61013608E-03 ,  1.26487452E-01 ,  1.30950181E-01
       3 ,        4 ,  9.91623492E-01 , -1.51498098E-02 ,  7.54324843E-02 ,  2.44180613E-02
       4 ,        4 ,  9.76253250E-01 , -1.86676182E-02 ,  2.07943064E-02 ,  1.34201655E-02
       5 ,        4 ,  9.56978244E-01 , -2.13842088E-02 ,  1.58218525E-03 ,  8.50116078E-03
       6 ,        4 ,  9.33253282E-01 , -2.39715856E-02 , -7.68223588E-05 , -1.69522273E-03
       7 ,        4 ,  9.04919638E-01 , -2.67330661E-02 ,  7.09705190E-04 , -8.93830669E-04
       8 ,        4 ,  8.72140607E-01 , -2.97471108E-02 ,  4.91898479E-04 , -3.12512666E-04
       9 ,        4 ,  8.35248325E-01 , -3.29823034E-02 ,  2.93298637E-04 ,  2.36695530E-04
      10 ,        4 ,  7.94653611E-01 , -3.63680953E-02 ,  2.25523295E-04 ,  2.06254805E-04
      11 ,        4 ,  7.50812078E-01 , -3.98258666E-02 ,  1.80499619E-04 , -1.69248910E-06
      12 ,        4 ,  7.04212624E-01 , -4.32797217E-02 ,  1.46293777E-04 , -1.42842353E-04
      13 ,        4 ,  6.55371512E-01 , -4.66594491E-02 ,  1.21851429E-04 , -2.44057348E-04
      14 ,        4 ,  6.04827062E-01 , -4.99002407E-02 ,  1.05737536E-04 , -3.58659324E-04
      15 ,        4 ,  5.53133985E-01 , -5.29404718E-02 ,  9.44170089E-05 , -5.17064390E-04
      16 ,        4 ,  5.00857343E-01 , -5.57181215E-02 ,  7.87045776E-05 , -7.28940724E-04
      17 ,        4 ,  4.48566320E-01 , -5.81665190E-02 ,  3.70826395E-05 , -9.60287416E-04
      18 ,        4 ,  3.96827902E-01 , -6.02103446E-02 , -2.48660154E-05 , -9.67678495E-04
      19 ,        4 ,  3.46200564E-01 , -6.17629346E-02 , -4.83617590E-05 , -8.99449402E-04
      20 ,        4 ,  2.97227995E-01 , -6.27258550E-02 , -2.75149462E-05 , -1.00332103E-03
      21 ,        4 ,  2.50432778E-01 , -6.29913819E-02 ,  5.78016737E-05 , -9.57569959E-04
      22 ,        4 ,  2.06309800E-01 , -6.24479143E-02 ,  1.77419446E-04 , -1.00881317E-02
      23 ,        4 ,  1.65318736E-01 , -6.09873723E-02 ,  4.90878211E-04 , -3.00807299E-03
      24 ,        4 ,  1.27874081E-01 , -5.85120121E-02 ,  5.69525096E-04 , -4.55437501E-03
      25 ,        4 ,  9.43296414E-02 , -5.49352773E-02 ,  3.46455542E-03 , -8.72399161E-03
      26 ,        4 ,  6.49539141E-02 , -5.01670306E-02 ,  1.05101914E-02 , -1.54614907E-02
      27 ,        4 ,  3.99021913E-02 , -4.40699920E-02 ,  1.61007933E-02 , -5.57730366E-03
      28 ,        4 ,  1.92320264E-02 , -3.63804411E-02 ,  4.51499512E-02 , -4.20130929E-02
      29 ,        4 ,  3.09617053E-03 , -2.66318843E-02 ,  7.79375764E-02 , -5.87086387E-02
      30 ,        4 , -7.72063565E-03 , -1.43374437E-02 , -4.08010361E-02 , -9.01271929E-02
      31 ,        4 , -1.16809407E-02 , -3.45080875E-05 ,  7.92457453E-02 ,  3.01975280E-01
      32 ,        4 , -8.11737718E-03 ,  1.47432055E-02 , -2.78814189E-02 , -1.08149088E-01
      33 ,        4 ,  2.40337385E-03 ,  2.78328932E-02 , -1.31749223E-01 , -1.53506434E-02
      34 ,        4 ,  1.82891228E-02 ,  3.87386702E-02 , -2.33799567E-02 , -2.91439718E-02
      35 ,        4 ,  3.87955428E-02 ,  4.79614163E-02 , -2.44530495E-02 , -2.71719142E-02
      36 ,        4 ,  6.37687221E-02 ,  5.59496230E-02 , -5.79891307E-03 , -2.42597225E-02
      37 ,        4 ,  9.31408103E-02 ,  6.29077095E-02 , -1.89752447E-03 , -2.31665550E-02
      38 ,        4 ,  1.26746633E-01 ,  6.88617586E-02 , -2.91885376E-03 ,  3.00863327E-03
      39 ,        4 ,  1.64307321E-01 ,  7.37495617E-02 , -1.92533640E-03 , -1.49791835E-03
      40 ,        4 ,  2.05456728E-01 ,  7.74873182E-02 , -1.14309891E-03 , -4.21058204E-03
      41 ,        4 ,  2.49766122E-01 ,  8.00104730E-02 , -1.47829991E-03 , -3.85179053E-03
      42 ,        4 ,  2.96760892E-01 ,  8.12956960E-02 , -2.20307842E-03 , -2.10770487E-03
      43 ,        4 ,  3.45932100E-01 ,  8.13697640E-02 , -1.83067038E-03 , -3.47815091E-04
      44 ,        4 ,  3.96745448E-01 ,  8.03086832E-02 , -2.58522250E-04 ,  6.41282077E-03
      45 ,        4 ,  4.48648923E-01 ,  7.82294521E-02 ,  3.80558017E-03 ,  2.69756182E-02
      46 ,        4 ,  5.01079656E-01 ,  7.52770131E-02 , -3.55579913E-02 ,  1.18373105E-01
      47 ,        4 ,  5.53470209E-01 ,  7.16093112E-02 , -1.09209466E-02 , -1.37884024E-01
      48 ,        4 ,  6.05254391E-01 ,  6.73834346E-02 , -7.43915342E-04 , -1.54773866E-02
      49 ,        4 ,  6.55872696E-01 ,  6.27453679E-02 , -5.99720580E-04 , -5.34804533E-03
      50 ,        4 ,  7.04777383E-01 ,  5.78249731E-02 , -2.17801181E-04 , -1.61991449E-03
      51 ,        4 ,  7.51437258E-01 ,  5.27366016E-02 , -2.23227630E-04 , -1.19731965E-03
      52 ,        4 ,  7.95342160E-01 ,  4.75844464E-02 , -2.18010754E-04 , -8.47036524E-04
      53 ,        4 ,  8.36007284E-01 ,  4.24704778E-02 , -2.82184144E-04 , -4.99521106E-04
      54 ,        4 ,  8.72978283E-01 ,  3.75011252E-02 , -4.04722205E-04 , -2.55472949E-04
      55 ,        4 ,  9.05841710E-01 ,  3.27850887E-02 , -6.04938408E-04 ,  1.56434948E-03
      56 ,        4 ,  9.34256266E-01 ,  2.84062753E-02 , -1.58356801E-03 ,  6.42414307E-03
      57 ,        4 ,  9.58037562E-01 ,  2.43473766E-02 , -3.91628620E-03 ,  1.65771546E-02
      58 ,        4 ,  9.77305921E-01 ,  2.03555635E-02 , -2.63671171E-02 ,  5.00906592E-02
      59 ,        4 ,  9.92549419E-01 ,  1.57782193E-02 , -2.50470745E-02 ,  9.93824228E-02
      60 ,        4 ,  1.00446823E+00 ,  9.38317012E-03 , -1.04297593E-01 ,  1.73707280E-01
      61 ,        4 ,  1.00587104E+00 , -1.81897499E-04 , -1.44782515E+00 , -3.42575476E-01
       1 ,        5 ,  1.00938934E+00 , -2.88294095E-04 ,  5.72752081E-01 , -3.30395008E-01
       2 ,        5 ,  1.00756573E+00 , -1.26293021E-02 ,  2.62673747E-02 ,  1.01555903E-01
       3 ,        5 ,  9.93814606E-01 , -2.04610291E-02 , -2.29881252E-02 ,  1.45536563E-02
       4 ,        5 ,  9.77181300E-01 , -2.50806809E-02 ,  1.45357347E-02 ,  2.21164265E-03
       5 ,        5 ,  9.57230338E-01 , -2.83954019E-02 ,  3.86624407E-03 ,  1.83808796E-04
       6 ,        5 ,  9.33266861E-01 , -3.12680469E-02 ,  5.64120943E-04 , -5.49777062E-04
